epoch,Friction_Factor_loss,R_loss,loss,val_Friction_Factor_loss,val_R_loss,val_loss
0,1.103158712387085,0.4364778995513916,1.5396367311477661,NA,NA,NA
1,1.0988987684249878,0.4264591634273529,1.5253578424453735,NA,NA,NA
2,1.1016721725463867,0.41672971844673157,1.5184019804000854,NA,NA,NA
3,1.1015208959579468,0.40728622674942017,1.5088070631027222,NA,NA,NA
4,1.1000937223434448,0.3981277048587799,1.4982213973999023,NA,NA,NA
5,1.1004801988601685,0.38924890756607056,1.4897291660308838,NA,NA,NA
6,1.0988131761550903,0.3806470036506653,1.4794601202011108,NA,NA,NA
7,1.0998907089233398,0.37231796979904175,1.4722087383270264,NA,NA,NA
8,1.100741982460022,0.3642570972442627,1.4649991989135742,NA,NA,NA
9,1.1000280380249023,0.3564584255218506,1.4564865827560425,NA,NA,NA
10,1.1048765182495117,0.34892141819000244,1.4537979364395142,NA,NA,NA
11,1.1043190956115723,0.34164032340049744,1.445959448814392,NA,NA,NA
12,1.1012797355651855,0.334614098072052,1.4358937740325928,NA,NA,NA
13,1.1046210527420044,0.32783636450767517,1.4324575662612915,NA,NA,NA
14,1.0984045267105103,0.321303129196167,1.4197075366973877,NA,NA,NA
15,1.1023246049880981,0.31500938534736633,1.4173340797424316,NA,NA,NA
16,1.1005549430847168,0.308949738740921,1.409504771232605,NA,NA,NA
17,1.1012877225875854,0.3031165301799774,1.4044042825698853,NA,NA,NA
18,1.1061599254608154,0.2975051701068878,1.4036649465560913,NA,NA,NA
19,1.1000633239746094,0.2921069860458374,1.3921704292297363,NA,NA,NA
20,1.1023813486099243,0.2869163751602173,1.3892977237701416,NA,NA,NA
21,1.0983117818832397,0.2819235920906067,1.3802354335784912,NA,NA,NA
22,1.0983424186706543,0.2771211862564087,1.3754637241363525,NA,NA,NA
23,1.10247802734375,0.27250024676322937,1.3749783039093018,NA,NA,NA
24,1.099280834197998,0.26805275678634644,1.3673335313796997,NA,NA,NA
25,1.103907585144043,0.2637684941291809,1.3676761388778687,NA,NA,NA
26,1.1061140298843384,0.2596398890018463,1.3657538890838623,NA,NA,NA
27,1.0990692377090454,0.2556565999984741,1.354725956916809,NA,NA,NA
28,1.1019377708435059,0.2518101632595062,1.353747844696045,NA,NA,NA
29,1.1002130508422852,0.24809080362319946,1.3483037948608398,NA,NA,NA
30,1.1024821996688843,0.24449002742767334,1.3469722270965576,NA,NA,NA
31,1.1000592708587646,0.2409980297088623,1.3410574197769165,NA,NA,NA
32,1.102510690689087,0.23760676383972168,1.3401174545288086,NA,NA,NA
33,1.1004202365875244,0.23430749773979187,1.3347276449203491,NA,NA,NA
34,1.0972622632980347,0.2310929000377655,1.328355073928833,NA,NA,NA
35,1.1036838293075562,0.22795487940311432,1.3316386938095093,NA,NA,NA
36,1.1028093099594116,0.22488607466220856,1.327695369720459,NA,NA,NA
37,1.103244662284851,0.2218809723854065,1.3251256942749023,NA,NA,NA
38,1.1025041341781616,0.21893316507339478,1.3214372396469116,NA,NA,NA
39,1.1064599752426147,0.21603801846504211,1.3224979639053345,NA,NA,NA
40,1.098127007484436,0.21319009363651276,1.3113170862197876,NA,NA,NA
41,1.0988473892211914,0.21038466691970825,1.3092318773269653,NA,NA,NA
42,1.1012884378433228,0.2076183259487152,1.3089067935943604,NA,NA,NA
43,1.1030514240264893,0.20488707721233368,1.307938575744629,NA,NA,NA
44,1.1002416610717773,0.20218835771083832,1.3024301528930664,NA,NA,NA
45,1.1021016836166382,0.19951872527599335,1.3016204833984375,NA,NA,NA
46,1.1003144979476929,0.19687536358833313,1.2971899509429932,NA,NA,NA
47,1.0987697839736938,0.19425643980503082,1.293026328086853,NA,NA,NA
48,1.102280855178833,0.19165968894958496,1.293940544128418,NA,NA,NA
49,1.0994834899902344,0.18908298015594482,1.2885664701461792,NA,NA,NA
50,1.106870412826538,0.18652425706386566,1.2933948040008545,NA,NA,NA
51,1.1064814329147339,0.18398277461528778,1.290464162826538,NA,NA,NA
52,1.1051080226898193,0.18145707249641418,1.2865650653839111,NA,NA,NA
